county,Count
Allegany,6446
Broome,22
Cattaraugus,3641
Cayuga,60
Chautauqua,861
Chemung,58
Chenango,29
Clinton,1
Cortland,14
Delaware,12
Erie,1108
Fulton,1
Genesee,196
Greene,2
Jefferson,1
Lewis,2
Livingston,74
Madison,27
Monroe,18
Montgomery,1
New York,2
Niagara,10
Oneida,15
Onondaga,21
Ontario,75
Orange,4
Orleans,13
Oswego,36
Otsego,13
Saratoga,2
Schoharie,1
Schuyler,60
Seneca,40
Statewide,16
Steuben,686
Sullivan,2
Tioga,34
Tompkins,19
Ulster,10
Warren,1
Washington,1
Wayne,12
Wyoming,210
Yates,49
