county,count,mean,std,min,25%,50%,75%,max
Allegany,698.0,36.80130313616203,26.75929150768499,0.0027397260273972603,16.0513698630137,26.932876712328767,60.93904109589041,122.3890410958904
Broome,10.0,6.2276712328767125,5.444751684564681,0.0027397260273972603,0.7815068493150685,7.405479452054794,9.780821917808218,13.906849315068493
Cattaraugus,1137.0,36.53972843700679,24.691379818565938,0.0027397260273972603,20.70958904109589,33.64383561643836,48.153424657534245,115.9013698630137
Cayuga,35.0,14.745205479452057,14.226924090197793,0.26575342465753427,4.697260273972603,10.860273972602739,20.299999999999997,55.99452054794521
Chautauqua,534.0,17.56956030988662,19.151628549684727,0.0027397260273972603,4.847945205479451,11.452054794520548,24.23767123287671,101.62465753424658
Chemung,31.0,19.325143614670786,22.776660112785123,0.0027397260273972603,4.798630136986301,10.704109589041096,24.457534246575342,75.86301369863014
Chenango,5.0,9.479452054794521,4.924079261874141,0.6767123287671233,11.490410958904109,11.550684931506849,11.734246575342466,11.945205479452055
Cortland,4.0,17.454794520547942,20.68580578151779,0.36712328767123287,6.897260273972602,10.991780821917807,21.54931506849315,47.46849315068493
Delaware,1.0,0.01643835616438356,,0.01643835616438356,0.01643835616438356,0.01643835616438356,0.01643835616438356,0.01643835616438356
Erie,390.0,26.72082191780822,27.570771279491698,0.0027397260273972603,4.467808219178082,15.67945205479452,39.48698630136986,120.5041095890411
Genesee,138.0,31.953067301965454,26.55303237613042,0.0027397260273972603,11.058904109589042,25.46164383561644,46.11849315068493,114.94246575342466
Livingston,36.0,10.54261796042618,12.277420136185608,0.0027397260273972603,4.769178082191781,6.916438356164384,9.363698630136986,64.4
Madison,10.0,5.953972602739727,4.742482161152764,0.00821917808219178,2.052739726027397,5.215068493150685,10.962328767123287,11.764383561643836
Monroe,9.0,46.06392694063928,13.299623702096861,23.123287671232877,47.56164383561644,47.94794520547945,55.49315068493151,57.367123287671234
New York,2.0,2.1753424657534244,0.5540617518338427,1.7835616438356163,1.9794520547945205,2.1753424657534244,2.3712328767123285,2.5671232876712327
Niagara,1.0,0.030136986301369864,,0.030136986301369864,0.030136986301369864,0.030136986301369864,0.030136986301369864,0.030136986301369864
Oneida,7.0,55.94794520547945,38.16422998851314,0.0410958904109589,38.85068493150685,78.26027397260275,78.48767123287672,78.65753424657534
Onondaga,6.0,12.307305936073059,20.374663429472022,0.0027397260273972603,0.005479452054794521,0.045205479452054796,19.040410958904108,48.38630136986301
Ontario,40.0,33.66595890410959,29.493982603991228,0.038356164383561646,5.776712328767124,28.78904109589041,53.154794520547945,104.77808219178083
Orange,2.0,8.380821917808218,11.848397462292944,0.0027397260273972603,4.191780821917808,8.380821917808218,12.56986301369863,16.75890410958904
Orleans,3.0,0.3095890410958904,0.5220166734822818,0.0027397260273972603,0.00821917808219178,0.0136986301369863,0.46301369863013697,0.9123287671232877
Oswego,11.0,52.284433374844326,55.61685064720901,0.005479452054794521,4.710958904109589,9.893150684931507,104.27945205479452,129.66027397260274
Otsego,4.0,2.8431506849315067,2.0846853309924303,0.0027397260273972603,2.002054794520548,3.287671232876712,4.1287671232876715,4.794520547945205
Schuyler,15.0,29.37789954337899,28.959889610423822,0.15342465753424658,6.2835616438356166,10.602739726027398,47.55890410958904,86.78082191780823
Seneca,23.0,24.521977367480645,31.887911351688302,0.0027397260273972603,4.33013698630137,7.208219178082191,35.632876712328766,86.26301369863013
Steuben,170.0,32.85690572119259,29.50695678729021,0.0027397260273972603,7.796575342465753,24.006849315068493,54.50684931506849,103.92876712328767
Sullivan,2.0,0.7945205479452054,1.0926252728471584,0.021917808219178082,0.4082191780821918,0.7945205479452054,1.180821917808219,1.5671232876712329
Tioga,12.0,7.667351598173515,4.883504785660296,0.6356164383561644,4.474657534246575,7.1657534246575345,11.916438356164385,15.994520547945205
Tompkins,8.0,8.06917808219178,9.580554449706366,0.0027397260273972603,0.17671232876712328,7.617808219178082,9.480821917808218,29.057534246575344
Wayne,4.0,4.717808219178083,4.338319614363902,0.136986301369863,1.4746575342465753,4.9301369863013695,8.173287671232877,8.873972602739727
Wyoming,85.0,12.851990330378724,17.3732035674425,0.0027397260273972603,0.46301369863013697,5.772602739726027,17.96712328767123,73.24383561643836
Yates,15.0,24.473424657534245,32.016536256960286,0.0410958904109589,1.66986301369863,8.668493150684931,35.20821917808219,113.6027397260274
